year,q_no,correct_number,correct_label,correct_text,explanation,difficulty,tags
2024,11,3,C,借地権を設定する場合において、存続期間を定めなかったときは、その期間は 30 年とな る。,"【結論】正解C（3）。
【根拠】期間未定の借地は30年。
【他肢】①②④は期間・要件認定の誤り（初回更新20年・以後10年）。
【暗記】30→20→10。",3,R6;正解;C
2024,12,3,C,Ｂが契約期間中に相続人なしで死亡した場合において、婚姻はしていないが事実上夫婦と 同様の関係にあった同居者Ｄがあるときは、契約①の場合も契約②の場合も、Ａに反対の意 思表示をしないＤは、建物の賃貸借契約に関し、Ｂの権利義務を承継する。,"【結論】正解C（3）。
【根拠】同居の事実婚パートナーは承継し得る（要件あり）。
【他肢】①対抗関係の解釈違い／②賃料改定の特約整理誤り／④定期の非更新特約は公正証書限定ではない。
【要点】普通/定期、承継/対抗を分ける。",3,R6;正解;C
2024,13,1,A,各共有者の共用部分の持分は、規約に別段の定めがない限り、共有者数で等分することと されている。,"【結論】正解A（1）※誤り。
【根拠】共用部分の持分＝床面積比例（等分ではない）。
【他肢】②特定承継人にも効力／③管理者の報告義務あり／④到達擬制の扱いは条文どおり。
【合言葉】床面積比例。",3,R6;正解;A
2024,14,3,C,相続人ではない者に対する遺贈による所有権の移転の登記は、登記権利者が単独で申請す ることができる。,"【結論】正解C（3）※誤り。
【根拠】遺贈の移転登記は原則“共同申請”。
【他肢】①買戻し期間満了の抹消単独申請可／②収用移転は起業者単独申請可／④住所変更は名義人単独申請可。
【キモ】共同申請主義の例外列挙。",3,R6;正解;C
2024,15,4,D,地区計画は、用途地域が定められている土地の区域についてのみ都市計画に定められるも のであり、また、地区計画に関する都市計画を定めるに当たっては、地区整備計画を都市計 画に定めなければならない。,"【結論】正解D（4）※誤り。
【根拠】地区計画は用途地域の有無を問わず定め得る。
【他肢】①②③は制度趣旨に合致。
【整理】地区計画は柔軟に設定可。",3,R6;正解;D
2024,16,1,A,"市街化区域内において行う、医療法に規定する病院を建築するための 1,000 m2 の開発行 為については、法第 29 条に基づく都道府県知事の許可を得る必要がある。","【結論】正解A（1）。
【根拠】市街化区域での当該規模の開発は許可対象。
【他肢】②建築のみは許可対象外／③都市計画事業のための開発は許可不要／④登録簿は行政側。
【仕分】開発か建築のみか。",3,R6;正解;A
2024,17,2,B,特定行政庁は、建築基準法の規定に違反した建築物（国、都道府県又は建築主事を置く市 町村の建築物を除く。）の所有者に対して、緊急の必要があり、仮に当該建築物の使用禁止 又は使用制限の命令をする場合であっても、意見書の提出先等を記載した通知書の交付等の 手続をとらなければならない。,"【結論】正解B（2）。
【根拠】緊急命令でも手続保障（通知・意見の機会）は要。
【他肢】①③④は確認・設備・用途変更の要否取り違い。
【覚え】緊急でも“手続ゼロ”はない。",3,R6;正解;B
2024,18,2,B,特定用途誘導地区内において、都市計画で建築物の高さの最高限度が定められていたとし ても、特定行政庁が用途上又は構造上やむを得ないと認めて許可したものについては、当該 最高限度を超えてよい。,"【結論】正解B（2）。
【根拠】高さ制限は許可で緩和可。
【他肢】①③④は用途・天空率・建蔽率の理解違い。
【ポイント】地区規制は“許可型”緩和に注意。",3,R6;正解;B
2024,19,3,C,工事主は、宅地造成等工事規制区域において行われる宅地造成等に関する工事について、 工事着手後 2 週間以内に、宅地造成等に関する工事の施行に係る土地の周辺地域の住民に対 し、説明会の開催その他の当該宅地造成等に関する工事の内容を周知させるため必要な措置 を講じなければならない。,"【結論】正解C（3）※誤り。
【根拠】住民周知・説明は着手“前”。
【他肢】①②④は条文の主旨に合致。
【要点】周知のタイミング。",3,R6;正解;C
2024,20,2,B,市町村施行の土地区画整理事業において、市町村は、換地処分をした場合においては、そ の旨を公告しなければならない。,"【結論】正解B（2）※誤り。
【根拠】換地処分の公告は“施行者”が主体。
【他肢】①③④は効果・取得・別定めの理解どおり。
【見抜】公告の“主体”に着目。",3,R6;正解;B
2024,21,1,A,法第 3 条第 1 項の許可があったときは所有権が移転する旨の停止条件付売買契約を原因と する所有権移転の仮登記の申請を行う場合にも、農業委員会の許可が必要である。,"【結論】正解A（1）※誤り。
【根拠】停止条件付売買の仮登記自体に3条許可は不要（本移転で要）。
【他肢】②連署／③みなし更新／④合意解約は原則許可要。
【合言葉】仮登記＝権利変動未完成。",3,R6;正解;A
2024,22,4,D,"監視区域に指定された市街化区域内に所在する土地 2,500 m2 について売買契約を締結し ようとする当事者は、契約締結の少なくとも 6 週間前までに事前届出を行わなければならな い。","【結論】正解D（4）。
【根拠】監視区域の“事前届出”は契約締結の少なくとも6週間前。
【他肢】①②③は時期・罰則の取り違い。
【暗記】23条=事後／27条の7=事前6週。",3,R6;正解;D
2024,23,2,B,令和 6 年中に居住用家屋を居住の用に供した場合において、その前年において居住用財産 の買換え等の場合の譲渡損失の損益通算の適用を受けているときであっても、令和 6 年分以 後の所得税について住宅ローン控除の適用を受けることができる。,"【結論】正解B（2）。
【根拠】前年に譲渡損失の損益通算を使っても翌年の住宅ローン控除の適用自体は可。
【他肢】①③④は適用年・要件の混同。
【コツ】“適用年”を切って判断。",3,R6;正解;B
2024,24,2,B,不動産取得税の課税標準となるべき額が、土地の取得にあっては 10 万円、家屋の取得の うち建築に係るものにあっては 1 戸につき 23 万円、その他のものにあっては 1 戸につき 12 万円に満たない場合においては、不動産取得税が課されない。,"【結論】正解B（2）。
【根拠】少額不課税：土地10万円、家屋（建築）23万円、その他12万円。
【他肢】①評価額原則／③④の特例取り違い。
【頻出】評価額と閾値。",3,R6;正解;B
2024,25,3,C,不動産の価格は、その不動産の効用が最高度に発揮される可能性に最も富む使用を前提と して把握される価格を標準として形成されるが、これを適合の原則という。,"【結論】正解C（3）※誤り。
【根拠】記述内容は最有効使用（HBU）であって適合の原則の説明ではない。
【他肢】①②④は正しい。
【切替】HBU≠適合の原則。",3,R6;正解;C
2024,26,3,C,三つ,"【結論】正解C（3）＝三つ。
【根拠】正しいのはア・ウ・エ。イの“記名宅建士は専任”が誤り。
【補足】ガス配管所有権留保／管理委託先／修繕積立金は35条説明。
【見抜】“専任”という余計な限定に注意。",3,R6;正解;C
2024,27,4,D,Ａは甲県内にある主たる事務所とは別に、乙県内に新たに従たる事務所を設置したときは、 営業保証金を主たる事務所の最寄りの供託所に供託しなければならない。,"【結論】正解D（4）。
【根拠】従たる事務所ごとに営業保証金供託は不要（主たる事務所の最寄り供託所へ）。
【他肢】①移替手続／②還付対象外債権の整理／③有価証券の評価率は条文どおり。
【注意】“従たる＝別供託”に引っかからない。",3,R6;正解;D
2024,28,2,B,イ、ウ,"【結論】正解B（2）＝イ・ウ。
【根拠】居住用賃貸の借主側超過受領は×。事業用や売買の上限は別基準。
【他肢】ア×、イ○、ウ○、エ×の組合せでB。
【式】居住用は厳しめ／売買は双方受領可（上限×2）。",3,R6;正解;B
2024,29,4,D,宅地建物取引業者は、その事務所唯一の専任の宅地建物取引士が宅地建物取引士証の有効 期間の経過により効力を失い宅地建物取引士でなくなったときは、 2 週間以内に法第 31 条 の 3 第 1 項の規定に適合させるため必要な措置を執らなければならない。,"【結論】正解D（4）。
【根拠】唯一の専任宅建士が失効→2週間以内に適合化が必要。
【他肢】①登録要件の取り違い／②失効証返納義務あり／③名義貸しは処分対象。
【覚え】“専任の空白”は許されない。",3,R6;正解;D
2024,30,4,D,Ｂは、自らの申出により、Ｂが融資を受ける銀行（宅地建物取引業者ではない。）におい て、宅地の買受けの申込み及びＡとの売買契約の締結をした場合、クーリング・オフによる 当該売買契約の解除を行うことができない。,"【結論】正解D（4）※誤り。
【根拠】銀行の応接スペースは“事務所等”に当たらない→クーリング・オフ適用除外にはならない。
【他肢】①②③は各定義どおり。
【分岐】適用除外は“事務所等”限定。",3,R6;正解;D
2024,31,1,A,国土交通大臣又は都道府県知事は、その免許を受けた宅地建物取引業者が法第 65 条第 1 項の規定による指示に従わない場合、その業務の全部又は一部の停止を命ずることができ、 業務の停止の処分に違反した場合、免許を取り消さなければならない。,"【結論】正解A（1）。
【根拠】指示違反→業務停止命令可、さらに停止処分違反→免許取消し。
【他肢】②③④は手続・公告の扱いを誤解。
【流れ】停止違反→取消し。",3,R6;正解;A
2024,32,3,C,Ａに対して当該中古住宅について買受けの申込みがなかった場合でも、ＡはＢに対して、 当該契約に係る業務の処理状況を 2 週間に 1 回以上報告しなければならないが、その報告は 必ずしも書面で行う必要はない。,"【結論】正解C（3）。
【根拠】専任媒介は報告“2週に1回以上”。書面限定ではない。
【他肢】①成約報告義務／②表示義務／④建物状況調査の希望有無の記載欄は必要。
【暗記】専任＝2週／専属専任＝1週。",3,R6;正解;C
2024,33,3,C,造成工事に必要とされる法令に基づく許可等の処分があった宅地について、工事完了前に 当該宅地の販売に関する広告をするときは、法令に基づく許可等の処分があったことを明示 すれば、取引態様の別について明示する必要はない。,"【結論】正解C（3）※誤り。
【根拠】工事完了前広告は「許可等」も「取引態様」も明示要。態様不要は×。
【他肢】①成約後掲示継続×／②転貸でも態様明示要／④毎回態様明示要。
【要点】広告＝常に“態様明示”。",3,R6;正解;C
2024,34,3,C,当該建物が建築工事の完了前の建物である場合において、Ａは、保全措置を講じずに、Ｂ から手付金 300 万円を受領することができる。,"【結論】正解C（3）※誤り。
【根拠】建築前の手付金受領は保全措置が必要。無保全は不可。
【他肢】①37条書面に記載要／②中間金前に合算保全要／④保全なしなら支払拒絶可。
【キモ】建築前＝原則保全。",3,R6;正解;C
2024,35,2,B,Ａが媒介業者として関与する建物賃貸借契約において、37 条書面の電磁的方法による提 供を行う場合、その方法は 37 条書面の交付に係る宅地建物取引士が明示されるものでなけ ればならない。,"【結論】正解D（4）。
【根拠】電磁的方法で提供したら紙交付は不要。よって“提供後すみやかに紙”は誤り。
【他肢】①②③は要件の付け足し・誤解。
【覚え】電磁提供＝紙の代替（同意が前提）。",3,R6;正解;B
2024,36,4,D,宅地建物取引業者は、一部の事務所を廃止し営業保証金を取り戻そうとする場合には、供 託した営業保証金につき還付を請求する権利を有する者に対し、公告をすることなく営業保 証金を取り戻すことができる。,"【結論】正解D（4）※誤り。
【根拠】営業保証金の取戻しは公告等の手続を要する。公告なしで取戻し不可。
【他肢】①②③は条文どおり。
【まとめ】“公告→返還”が鉄則。",3,R6;正解;D
2024,37,3,C,三つ,"【結論】正解C（3）＝三つ。
【根拠】ア・ウ・エが○。イは本問前提に適合せず×。
【補足】ハザード／造成前の将来道路／私道負担の有無・内容は35条説明。
【型】災害・造成・私道の3点セット。",3,R6;正解;C
2024,38,4,D,宅地建物取引業者Ｅ（丙県知事免許）の免許の更新に当たって、丙県知事は宅地建物取引 業法第 3 条の 2 に基づき条件を付すことができ、Ｅが免許の更新に当たって付された条件に 違反したときは、丙県知事はＥの免許を取り消すことができる。,"【結論】正解D（4）。
【根拠】免許更新に“条件付与”はできない。
【他肢】①②③は正規の運用。
【注意】免許に条件という発想が誤り。",3,R6;正解;D
2024,39,4,D,届出をすべき場所として、宅地建物取引業者が業務に関し展示会その他これに類する催し を実施する場所が定められているが、その催しを開始する 10 日前までに、実施場所を管轄 する都道府県知事に届け出なければならず、免許を受けた国土交通大臣又は都道府県知事に 届け出る必要はない。,"【結論】正解D（4）※誤り。
【根拠】展示会等の開催場所の届出先は開催地を管轄する都道府県知事。免許権者ではない。
【他肢】①②③は届出・除外の要件どおり。
【落とし穴】“どこに出すか”。",3,R6;正解;D
2024,40,2,B,イ、ウ,"【結論】正解B（2）＝イ・ウ。
【根拠】既存建物賃貸の37条書面：敷金等・違約金は必記。租税負担・構造主要部分は35条側。
【他肢】①④は35条事項。
【切替】35条（説明）vs 37条（契約書）。",3,R6;正解;B
2024,41,1,A,一つ,"【結論】正解B（2）＝二つ。
【根拠】イ・ウが○。アは抹消予定でも内容説明要、エは区域の行為制限の“概要”も説明要。
【整理】予定でも説明、規制は概要も。",3,R6;正解;A
2024,42,2,B,宅地建物取引業者は、宅地又は建物の売買の契約の締結の勧誘をするに際し、宅地建物取 引業者の相手方等に対し、宅地又は建物の引渡しの時期について故意に不実のことを告げた 場合であっても、契約が成立したときに宅地建物取引業法第 37 条の規定により交付すべき 書面に当該事項を正確に記載すればよい。,"【結論】正解B（2）※誤り。
【根拠】不実告知をしておいて“後で37条に正確記載すればOK”にはならない（不当勧誘）。
【他肢】①断定的判断の提供禁止／③自然死の告知原則不要（売買）／④賃貸は原則3年で告知不要。
【要点】“後で書けばOK”は通らない。",3,R6;正解;B
2024,43,4,D,宅地建物取引士証に記載される宅地建物取引士の氏名については現姓を用いなければなら ず、旧姓を併記することは認められていない。,"【結論】正解B（2）。
【根拠】信用・品位を害する行為は私生活上でも処分対象になり得る。
【他肢】①住所変更は証の有無に関係なく変更登録必要／③シール貼付提示可ではない／④旧姓併記は可能。
【覚書】職務外非違も規律対象。",3,R6;正解;D
2024,44,1,A,Ａは、建築工事完了前の建物の売買契約を媒介したときに、37 条書面に記載する当該建 物を特定するために必要な表示について、宅地建物取引業法第 35 条の規定に基づく重要事 項の説明において使用した図書を交付することによって行った。,"【結論】正解B（2）※「違反しないもの」。
【根拠】他肢はいずれも明確に違反となる肢構成の中で②が適法枠。
【他肢】①図書交付での特定×／③引渡時期欠落×／④買主相手にも37条書面交付義務あり。
【注意】肢全体の適法・違法を相対比較で判断。",3,R6;正解;A
2024,45,2,B,自ら売主として新築住宅を宅地建物取引業者ではない買主に引き渡した宅地建物取引業者 は、基準日に係る保証金の供託及び保険契約の締結の状況について届出をしなければ、当該 基準日の翌日から起算して 50 日を経過した日以後においては、新たに自ら売主となる新築 住宅の売買契約を締結してはならない。,"【結論】正解A（1）。
【根拠】直前1年0戸なら届出不要（対象外）。
【他肢】②以後の契約禁止規定なし／③転売で保険は承継／④25㎡以下の算定特例の読み違い。
【押さえ】届出義務の基準年。",3,R6;正解;B
2024,46,1,A,証券化支援業務（買取型）において、機構による譲受けの対象となる住宅の購入に必要な 資金の貸付けに係る金融機関の貸付債権には、当該住宅の購入に付随する当該住宅の改良に 必要な資金は含まれない。,"【結論】正解B（2）※誤り。
【根拠】機構は耐震改修資金の“貸付業務”は行っていない（他の支援枠組み）。
【他肢】①③④は制度どおり。
【ポイント】機構の“やる/やらない”を区別。",3,R6;正解;A
2024,47,4,D,居住の用に供されたことはないが建築後 1 年以上経過した一戸建て住宅について、新築で ある旨を表示することはできない。,"【結論】正解D（4）。
【根拠】完成後1年超は未入居でも“新築”表示不可。
【他肢】①媒体制限なし／②廃屋の明示要／③徒歩所要時間の算定基準は所定換算。
【暗記】新築＝未入居かつ1年未満。",3,R6;正解;D
2024,48,1,A,令和 6 年地価公示（令和 6 年 3 月公表）によれば、令和 5 年 1 月以降の 1 年間の地価の動 向は、三大都市圏・地方圏ともに、全用途平均・住宅地・商業地のいずれも 3 年連続で上昇 した。,"【結論】正解A（1）。
【根拠】R6地価公示：三大都市圏・地方圏とも全用途・住宅地・商業地で上昇（3年連続）。
【他肢】②③④はデータ誤り。
【戦術】統計は最新値の一括暗記。",3,R6;正解;A
2024,49,2,B,高さ 2 m 以下の擁壁であれば、水抜き孔を有しなくても、地震による被害が生じること はない。,"【結論】正解B（2）※最も不適当。
【根拠】低い擁壁でも排水構造は必要。地震被害が“生じない”とは断定できない。
【他肢】①③④は正しい安全配慮。
【心得】“断定的安全”は疑う。",3,R6;正解;B
2024,50,3,C,ブレース構造は、骨組全てに用いることが多く、ラーメン構造など他の構造と併用するこ とはない。,"【結論】正解C（3）※最も不適当。
【根拠】ブレース構造はラーメン構造と併用されることが多い。併用しない、は誤り。
【他肢】①②④は定義どおり。
【図解】骨組＋ブレース＝剛性UP。",3,R6;正解;C
2023,1,1,A,遺産である不動産から、相続開始から遺産分割までの間に生じた賃料債権は、遺産である 不動産が遺産分割によって複数の相続人のうちの一人に帰属することとなった場合、当該不 動産が帰属することになった相続人が相続開始時にさかのぼって取得する。,,3,R5;正解;A
2023,2,1,A,土地の所有者は、境界標の調査又は境界に関する測量等の一定の目的のために必要な範囲 内で隣地を使用することができる場合であっても、住家については、その家の居住者の承諾 がなければ、当該住家に立ち入ることはできない。,,3,R5;正解;A
2023,3,2,B,Ｂが材料を提供して増築した部分に契約不適合がある場合、Ａは工事が終了した日から 1 年以内にその旨をＢに通知しなければ、契約不適合を理由とした修補をＢに対して請求する ことはできない。,,3,R5;正解;B
2023,4,4,D,エ,,3,R5;正解;D
2023,5,4,D,家庭裁判所により選任された管理人は、保存行為として不在者の自宅を修理することがで きるほか、家庭裁判所の許可を得てこれを売却することができる。,,3,R5;正解;D
2023,6,3,C,三つ,,3,R5;正解;C
2023,7,3,C,Ｃには、Ｂに対し、配偶者居住権の設定の登記を備えさせる義務がある。,,3,R5;正解;C
2023,8,3,C,本件売買契約につき、取消しがなされないままＡが成年に達した場合、本件売買契約につ いてＢが反対していたとしても、自らが取消権を有すると知ったＡは、本件売買契約を追認 することができ、追認後は本件売買契約を取り消すことはできなくなる。,,3,R5;正解;C
2023,9,2,B,甲建物の修繕が必要である場合において、ＢがＡに修繕が必要である旨を通知したにもか かわらず、Ａが必要な修繕を直ちにしないときは、Ｂは甲建物の修繕をすることができる。,,3,R5;正解;B
2023,10,3,C,400 万円,,3,R5;正解;C
2023,11,4,D,本件契約がＢの居住のための建物を所有する目的であり契約の更新がない旨を定めていな い契約であって、期間満了する場合において甲土地上に建物があり、Ｂが契約の更新を請求 したとしても、Ａが遅滞なく異議を述べ、その異議に更新を拒絶する正当な事由があると認 められる場合は、本件契約は更新されない。,,3,R5;正解;D
2023,12,3,C,賃借人が建物の引渡しを受けている場合において、当該建物の賃貸人が当該建物を譲渡す るに当たり、当該建物の譲渡人及び譲受人が、賃貸人たる地位を譲渡人に留保する旨及び当 該建物の譲受人が譲渡人に賃貸する旨の合意をしたときは、賃貸人たる地位は譲受人に移転 しない。,,3,R5;正解;C
2023,13,2,B,集会は、区分所有者の 4 分の 3 以上の同意があるときは、招集の手続を経ないで開くこと ができる。,,3,R5;正解;B
2023,14,2,B,何人も、理由の有無にかかわらず、登記官に対し、手数料を納付して、登記簿の附属書類 である申請書を閲覧することができる。,,3,R5;正解;B
2023,15,4,D,地区計画は、用途地域が定められている土地の区域のほか、一定の場合には、用途地域が 定められていない土地の区域にも定めることができる。,,3,R5;正解;D
2023,16,1,A,開発許可を申請しようとする者は、あらかじめ、開発行為に関係がある公共施設の管理者 と協議し、その同意を得なければならない。,,3,R5;正解;A
2023,17,3,C,建築物が防火地域及び準防火地域にわたる場合、その全部について準防火地域内の建築物 に関する規定を適用する。,,3,R5;正解;C
2023,18,1,A,法第 53 条第 1 項及び第 2 項の建(cid:7789)率制限に係る規定の適用については、準防火地域内に ある準耐火建築物であり、かつ、街区の角にある敷地又はこれに準ずる敷地で特定行政庁が 指定するものの内にある建築物にあっては同条第 1 項各号に定める数値に 10 分の 2 を加え たものをもって当該各号に定める数値とする。,,3,R5;正解;A
2023,19,1,A,都道府県知事は、関係市町村長の意見を聴いて、宅地造成工事規制区域内で、宅地造成に 伴う災害で相当数の居住者その他の者に危害を生ずるものの発生のおそれが大きい一団の造 成宅地の区域であって、一定の基準に該当するものを、造成宅地防災区域として指定するこ とができる。,,3,R5;正解;A
2023,20,4,D,土地区画整理組合は、仮換地を指定しようとする場合においては、あらかじめ、その指定 について、土地区画整理審議会の同意を得なければならない。,,3,R5;正解;D
2023,21,2,B,自己の所有する面積 4 アールの農地を農作物の育成又は養畜の事業のための農業用施設に 転用する場合は、法第 4 条第 1 項の許可を受ける必要はない。,,3,R5;正解;B
2023,22,1,A,"都市計画区域外において、国から一団の土地である 6,000 m2 と 5,000 m2 の土地を購入し た者は、事後届出を行う必要はない。",,3,R5;正解;A
2023,23,1,A,売主Ａと買主Ｂが土地の譲渡契約書を 3 通作成し、Ａ、Ｂ及び仲介人Ｃがそれぞれ 1 通ず つ保存する場合、当該契約書 3 通には印紙税が課される。,,3,R5;正解;A
2023,24,4,D,不動産取得税は、市町村及び特別区に対して、課することができない。,,3,R5;正解;D
2023,25,4,D,取引事例比較法は、近隣地域若しくは同一需給圏内の類似地域等において対象不動産と類 似の不動産の取引が行われている場合又は同一需給圏内の代替競争不動産の取引が行われて いる場合に有効である。,,3,R5;正解;D
2023,26,3,C,三つ,,3,R5;正解;C
2023,27,4,D,既存住宅の貸借の媒介を行う宅地建物取引業者は、宅地建物取引業法第 37 条の規定によ り交付すべき書面に建物の構造耐力上主要な部分等の状況について当事者の双方が確認した 事項を記載しなければならない。,,3,R5;正解;D
2023,28,3,C,三つ,,3,R5;正解;C
2023,29,2,B,宅地建物取引業者Ｂ社の取締役が、所得税法の規定に違反したことにより罰金の刑に処せ られたとしても、Ｂ社の免許は取り消されることはない。,,3,R5;正解;B
2023,30,1,A,一つ,,3,R5;正解;A
2023,31,4,D,販売する宅地又は建物の広告に関し、著しく事実に相違する表示をした場合、監督処分の 対象となるだけでなく、懲役若しくは罰金に処せられ、又はこれを併科されることもある。,,3,R5;正解;D
2023,32,4,D,宅地建物取引業者Ｇ（丁県知事免許）が、その業務に関し展示会を丁県内で実施する場合、 展示会を実施する場所において売買契約の締結（予約を含む。）又は売買契約の申込みの受 付を行うときは、Ｇは展示会での業務を開始する日の 5 日前までに展示会を実施する場所に ついて丁県知事に届け出なければならない。,,3,R5;正解;D
2023,33,1,A,甲宅地を所有する宅地建物取引業者Ａが、乙宅地を所有する宅地建物取引業者ではない個 人Ｂと、甲宅地と乙宅地の交換契約を締結するに当たって、Ｂに対して、甲宅地に関する重 要事項の説明を行う義務はあるが、乙宅地に関する重要事項の説明を行う義務はない。,,3,R5;正解;A
2023,34,3,C,三つ,,3,R5;正解;C
2023,35,4,D,Ａが、売却の媒介を依頼している宅地建物取引業者Ｃの事務所でＢから買受けの申込みを 受けた場合、Ｂは、申込みの日から 8 日以内に書面により当該申込みの撤回を申し出ても、 申込みの撤回を行うことができない。,,3,R5;正解;D
2023,36,3,C,三つ,,3,R5;正解;C
2023,37,3,C,宅地建物取引業者の従業者は、宅地の買受けの申込みをした者から請求があった場合には、 その者が宅地建物取引業者であっても、その者に従業者であることを証する証明書を提示す る必要がある。,,3,R5;正解;C
2023,38,2,B,二つ,,3,R5;正解;B
2023,39,2,B,Ａは、手付金の保全措置を保証保険契約を締結することにより講ずる場合、保険期間は保 証保険契約が成立した時から宅地建物取引業者が受領した手付金に係る宅地の引渡しまでの 期間とすればよい。,,3,R5;正解;B
2023,40,4,D,Ａは、Ｂが他の宅地建物取引業者の媒介又は代理によって売買の契約を成立させたときの 措置を法第 34 条の 2 第 1 項の規定に基づく書面に記載しなければならない。,,3,R5;正解;D
2023,41,2,B,宅地建物取引業者Ａ（甲県知事免許）で専任の宅地建物取引士として従事しているＢ（甲 県知事登録）が、勤務実態のない宅地建物取引業者Ｃ（乙県知事免許）において、自らが専 任の宅地建物取引士である旨の表示がされていることを許した場合には、乙県知事は、Ｂに 対し、必要な指示をすることができる。,,3,R5;正解;B
2023,42,3,C,三つ,,3,R5;正解;C
2023,43,4,D,Ａは、天災その他不可抗力による損害の負担に関する定めがあるときは、その内容を 37 条書面に記載しなければならない。,,3,R5;正解;D
2023,44,1,A,保証協会の社員は、自らが取り扱った宅地建物取引業に係る取引の相手方から当該取引に 関する苦情について解決の申出が保証協会にあり、保証協会から関係する資料の提出を求め られたときは、正当な理由がある場合でなければ、これを拒んではならない。,,3,R5;正解;A
2023,45,4,D,ＡＢ間の売買契約において、当該住宅の構造耐力上主要な部分に瑕 (cid:12695) 疵 (cid:12681) 担保責任を負わない旨の特約があった場合においても、Ａは住宅販売瑕 (cid:12681) 又は住宅販売瑕 (cid:12695) 疵 担保責任保険契約の締結を行う義務を負う。,,3,R5;正解;D
2023,46,2,B,機構は、証券化支援事業（買取型）において、新築住宅に対する貸付債権のみを買取りの 対象としている。,,3,R5;正解;B
2023,47,2,B,直線距離で 50 m 以内に街道が存在する場合、物件名に当該街道の名称を用いることがで きる。,,3,R5;正解;B
